Date,AAPL,MSFT,AMZN,GOOGL,FB,V,WMT,JNJ,PG,JPM,UNH,MA,NVDA,HD,VZ,DIS,BAC,KO,CRM,CMCSA,ADBE,PFE,NFLX,T,MRK,NKE,ABT,PEP,TMO,INTC,ABBV,CSCO,ORCL,COST,DHR,QCOM,CVX,TMUS,MCD,XOM,ACN,NEE,MDT,AVGO,BMY,TXN,UPS,HON,AMGN,UNP,LLY,LIN,CHTR,LOW,PM,SBUX,AMT,BA,LMT,IBM,MS,C,BLK,RTX,WFC,MMM,NOW,AMD,INTU,CAT,CVS,AXP,EL,FIS,ISRG,SYK,SCHW,BKNG,ANTM,MDLZ,SPGI,TGT,GE,CI,DE,ZTS,PLD,GILD,GS,MO,ADP,CL,CCI,FISV,FDX,TJX,BDX,DUK,D,CSX,SPX
1/31/18,39.95297623,91.30612946,1450.890015,1182.219971,186.8899994,121.8707733,100.752655,128.2741852,79.76750183,106.3642807,226.8375549,166.5231476,243.8322754,187.8619385,47.98865128,105.6821136,30.10737228,43.4490242,113.9100037,40.07746887,199.7599945,33.12880325,270.2999878,31.54775429,54.66953278,66.25390625,59.39615631,110.6596756,222.4247131,44.70376587,96.14546967,38.18710327,49.25018311,189.3627014,99.82333374,61.99834824,111.3770599,65.09999847,159.957428,74.07861328,153.422226,37.06169891,80.76926422,220.052536,57.54579544,101.5671616,115.2844772,143.6110077,170.6870422,125.7976837,76.17173767,153.158783,377.25,99.45418549,91.27854919,53.3982048,140.1271973,337.7120972,331.1087036,142.0009308,52.42129135,71.7607193,521.1444702,80.75843811,59.07092285,229.5666046,148.8699951,13.73999977,164.2754517,151.0002136,72.13580322,95.19869995,131.5365906,99.23500824,431.6700134,159.2228699,50.9576683,1912.050049,239.6107635,41.77910233,176.3388062,69.42942047,14.99697399,208.2080841,158.1231842,75.48451233,60.34291077,76.01415253,254.2013092,58.40240479,116.4339676,69.39610291,102.4584961,70.41999817,252.4720612,38.72187805,234.5635834,68.8473587,67.25462341,54.686409,2823.810059
2/1/18,40.03649902,90.58537292,1390,1181.589966,193.0899963,123.3324738,99.73189545,129.9728546,79.31479645,107.4677505,225.3430328,170.3955536,238.5747223,186.9268646,48.19277954,107.4520721,30.57780266,43.32120132,112.7399979,39.47437668,199.3800049,33.24615097,265.0700073,32.98825455,55.23237991,65.70034027,59.41526794,110.6596756,220.6878357,44.24874496,99.6753006,38.334198,49.28837585,188.0022583,100.3949814,60.6811676,111.5725327,63.79000092,160.6677704,75.58053589,153.1931152,36.5750885,79.91352081,211.8547974,57.72964859,101.9468842,108.2127609,143.5930176,170.2374878,124.7422943,77.06952667,151.5844116,371.1799927,98.62801361,89.52498627,52.63684464,139.5200195,340.1612854,333.4694824,140.8732452,53.2555809,72.41906738,524.2890625,80.93983459,59.1793251,227.2205048,152.8099976,13.25,162.0740509,150.4993134,72.22747803,95.77333832,131.1467133,98.99263763,425.9200134,159.6103058,52.45755005,1903.689941,235.8210907,43.16232681,177.2151031,69.19866943,14.85785484,204.8703461,159.4819031,76.55680847,59.05467606,75.73294067,258.3194275,58.06199265,113.41082,68.54547882,102.7310638,70.05000305,251.8467865,38.61581039,233.1925354,67.39147949,66.7795105,54.50338745,2821.97998
2/2/18,38.29929733,88.20204163,1429.949951,1119.199951,190.2799988,118.6138229,98.74894714,127.8007584,77.83659363,105.0860977,222.1432953,168.0504761,231.650589,181.3816986,47.02123642,105.7112885,30.06033134,42.66385651,110.7799988,38.73936081,195.6399994,33.04756165,267.4299927,32.07004166,54.03288269,65.2827301,58.94705963,109.1602936,216.0529633,42.85581207,98.67288208,37.62634277,47.85640717,185.5923462,100.7103806,60.01804352,105.3617096,63.59000015,158.312439,71.72810364,149.7943268,36.47682953,79.41511536,208.9181519,58.35474396,99.70569611,105.4601288,140.8947296,171.5677643,121.8965378,75.9192276,147.0510254,387.5,96.38690186,88.05234528,52.42065811,137.7743683,332.508728,329.0652161,137.9499512,51.42940903,70.71142578,508.6398315,78.76886749,57.87847137,224.6820068,149.7599945,12.44999981,159.8921814,146.0930328,70.08236694,92.59365082,130.9810486,97.73233032,416.9599915,157.1596832,50.9576683,1859.099976,231.2289581,42.81417465,172.6679077,67.33416748,14.50542164,204.3207245,156.7359924,75.53368378,59.15663147,74.13645935,246.7523804,57.62194443,111.6684952,67.704216,101.8497696,68.77500153,246.1140747,37.83000183,228.9345398,67.11959076,66.58596039,53.2222023,2762.129883
2/5/18,37.34241104,84.56941986,1390,1062.390015,181.2599945,114.0619202,94.59973907,121.0338593,74.88941956,100.0469589,210.7812958,162.1777802,211.9892426,171.2264862,44.82017136,101.8212585,28.47028542,40.98395538,107.6500015,36.93950653,190.2700043,31.29632378,254.2599945,30.856987,52.0398674,62.53429031,56.11865616,105.287674,206.743515,41.34216309,93.8236618,35.64987564,45.9089241,177.60466,95.30921173,56.0755806,100.0660858,61.54000092,153.1437531,67.6465683,144.9539185,36.09550095,76.56576538,202.370636,56.03820419,96.51059723,102.5897827,135.0664825,160.3201447,116.9777145,72.4683609,142.5650482,372.5700073,92.66436768,84.00896454,51.40552139,134.7574158,313.4203186,313.9490967,132.3115692,48.71332169,67.26860046,486.9796448,74.45623016,52.53960419,212.0993805,147.3899994,11.56999969,154.2467346,140.1469421,67.2130661,88.1210556,130.8933105,94.23252869,399.0100098,149.5559692,48.99922943,1825.930054,222.7891846,41.34625626,161.9862823,65.3219986,13.82837772,196.2762146,149.1918488,72.6315918,56.72845078,71.08866119,236.3808746,54.83216858,107.4304123,65.25515747,100.405159,65.05500031,239.0250854,36.66814423,217.0683136,66.48812103,65.71492004,50.08184433,2648.939941
2/6/18,38.90301895,87.76958466,1442.839966,1084.430054,185.3099976,117.691658,95.36532593,122.3705139,76.10894775,103.0906754,215.7246246,166.7990265,223.7741547,178.6418457,45.11305618,103.2508545,29.35469055,40.78310013,109.5699997,37.38240433,194.4700012,31.84697151,265.7200012,31.02546883,51.17253113,63.34037018,56.24288177,104.4597931,207.9046936,41.98725128,95.27155304,36.9276886,47.15951157,179.7813721,95.65416718,58.50100708,104.1177826,60.84999847,154.3868561,66.48406982,147.6844025,34.98893738,76.80083466,213.2654266,55.98304749,98.04795074,102.0555573,136.1727753,162.0632477,123.583252,72.93595123,147.2975769,369.75,95.17138672,85.40499115,52.27027512,132.9832764,324.8847961,315.0035095,134.7490692,50.36337662,68.6916275,496.487793,75.96008301,51.74463654,214.106369,149.0200043,11.64999962,157.3972473,145.091217,67.85476685,90.19931793,133.7392578,92.79772186,408.3299866,149.3040924,50.49911118,1858.660034,227.0235748,41.92024231,175.2287445,67.11265564,14.16226292,197.4553986,153.8095398,72.08065033,56.29286575,72.91189575,245.480835,55.2390213,106.3755951,65.81600952,98.62436676,65.375,240.6410217,36.6343956,219.6752014,65.33045197,65.2046051,51.84468079,2695.139893
2/7/18,38.07022476,86.11664581,1416.780029,1055.410034,180.1799927,117.377739,97.20834351,121.9899521,75.61003876,103.7895355,216.3377686,166.2571106,226.9683533,178.8756561,45.27280807,101.8796234,29.4017334,40.68267059,110.0500031,37.8347168,192.3399963,31.57616615,264.5599976,31.10970688,51.56005859,63.73855972,56.0613327,104.4045944,205.9892273,42.25838852,97.34493256,37.08396149,46.65355301,178.0128021,93.88006592,59.08238602,102.4384613,62.06000137,154.8822327,65.28759766,148.1235504,34.6450386,76.49993896,210.6038361,57.57337189,94.44534302,101.3311844,135.9838867,162.8155212,121.5196304,71.74826813,142.2710114,363.5499878,94.88650513,84.17067719,51.46697998,132.8220062,331.7558899,322.3189697,133.4565887,50.56731033,68.84768677,493.7421265,77.22403717,51.97951889,213.7031403,153.1699982,11.60000038,157.8081818,143.1710052,68.1572876,89.65340424,131.2929382,93.81565857,399.5299988,148.848877,49.70617676,1882.680054,230.5135803,41.44975662,177.8869629,67.61107635,14.1437149,195.3068695,153.391449,72.66108704,55.64411545,75.07077789,243.9625854,55.45488739,106.9500961,65.59166718,98.80607605,64.58499908,241.5740204,36.73563385,214.2683411,65.25151062,64.89668274,51.02587891,2681.659912
2/8/18,37.0226593,81.69598389,1350.5,1007.710022,171.5800018,111.6976852,94.53358459,117.2930298,74.11338043,99.20097351,207.3707886,158.2659607,215.7786407,169.4591675,43.5243721,98.56337738,27.98104286,39.34970856,104.0299988,35.98774338,185.1600037,30.35753632,250.1000061,29.96404648,50.49897003,60.68905258,53.76804733,101.3230362,197.2355499,39.96782684,92.94117737,35.64067841,44.71561432,173.5621796,90.8345108,56.70236588,99.78175354,58.88000107,148.5826263,64.54935455,143.6936951,33.98999405,73.7069931,203.6748199,57.62852097,90.4445343,98.94980621,131.3338928,158.8247223,117.6561661,69.40091705,136.6374512,348.6499939,90.22383118,85.45603943,50.81490707,126.7216644,315.7144775,311.9335938,129.2868958,48.00882339,65.98326874,472.5177917,74.59664154,50.04632187,204.2638855,140.1000061,11.22000027,149.4524994,135.4252777,64.67379761,84.60616302,128.1253815,89.90870667,381.8699951,143.3664093,46.80593491,1806.060059,222.9052277,40.16062927,168.7535858,65.63583374,13.40174866,189.1410828,145.9993439,70.34923553,54.05931854,70.95259857,233.7619019,53.17990875,101.9491806,64.4512558,94.31778717,66.52500153,230.1470032,35.84859085,204.1496582,65.18132782,64.50074768,48.61763763,2581
2/9/18,37.47550201,84.74239349,1339.599976,1046.27002,176.1100006,114.1109772,93.91924286,120.2355652,73.8361969,101.1872101,211.6818237,162.7788239,230.2220764,172.1709137,44.26990509,100.2555313,28.53614426,39.37709427,106.9800034,36.3458252,187.9900055,30.83596611,249.4700012,30.36840248,50.62814713,63.60258865,54.62802887,102.2705231,198.6746368,41.08973312,95.35723877,36.33934021,45.56525803,175.6125946,93.10140991,58.12856293,100.8479691,59.20000076,150.2930603,64.96083069,146.8729095,34.64738083,74.74142456,208.9358978,57.63772202,93.06543732,96.33298492,133.0248108,159.1366272,119.936554,71.29000854,141.7683411,349.4299927,92.27503204,85.07299805,51.5803833,129.0745239,318.7503052,318.5772705,130.9687958,48.3332634,67.64499664,483.7700806,73.16300964,50.70577621,206.3899994,145.1600037,11.31000042,153.6694794,138.4122467,63.6104126,87.84329224,131.3318939,92.12878418,392.9100037,146.475708,47.97368622,1765,224.007309,39.65250778,172.8334198,66.87268066,13.85620308,193.6380157,147.2060394,71.17559052,55.90361404,71.95038605,236.561203,53.16329575,104.9440994,65.20841217,94.36321259,68.73000336,226.3476257,36.46566772,209.6531067,66.74246216,65.44216919,49.02221298,2619.550049
2/12/18,38.98496628,85.6553421,1386.22998,1054.560059,176.4100037,116.2201385,94.08935547,120.9224777,75.13887787,102.7504425,216.2132263,165.7250366,226.2045441,172.1148529,44.47402954,100.547287,29.27942085,40.14400864,108.5500031,36.31755829,192.1499939,31.28730011,257.9500122,30.63796616,51.14484787,64.07846832,54.85736084,102.9604187,202.9720764,41.91246414,95.89700317,37.32297516,45.96620178,175.9429779,94.0377655,59.64559555,101.2744904,58.11999893,153.190506,65.50945282,147.9326324,35.09187698,75.45609283,216.8320007,58.06057739,94.40830231,96.26055908,134.4368896,160.4302063,121.2180786,71.30870819,145.8180695,357.8800049,92.85427856,87.16705322,52.33642197,129.2453156,329.2562256,322.6735229,132.6243591,49.52908325,68.63654327,487.3599548,74.53813171,51.04001999,210.0373993,147.2400055,11.68000031,155.9393921,141.2693634,64.0504303,90.69732666,133.5540619,92.24512482,398.5100098,148.8391876,48.75856781,1790,225.0320435,40.01948166,175.6182404,66.34655762,13.74490547,193.4281311,151.2726593,72.00196075,55.74606705,72.69419098,240.223938,54.25926971,105.1512833,65.61036682,95.49892426,69.31999969,230.7818756,36.49942017,211.3427582,67.36514282,66.21643066,51.20890427,2656
2/13/18,39.37550735,86.32807159,1414.51001,1054.140015,173.1499939,116.1024323,95.4409256,120.6347198,75.29593658,103.3849411,217.1233215,167.6267395,230.7677155,171.7968903,44.44741058,101.2572174,29.33587265,40.34486389,107.6900024,36.71334076,193.4799957,31.54006577,258.269989,30.83171844,50.65582275,63.97162628,55.07712555,103.153595,201.9696808,41.56654358,95.83702087,37.90213013,46.29078293,178.9456482,93.61394501,59.68192291,100.6613998,57.68999863,151.7885132,65.40660095,149.73703,35.34220123,75.43729401,218.1273193,58.71324921,93.51924133,97.39239502,133.5644684,161.4118652,120.8977127,71.27130127,145.8939514,355.6799927,91.22092438,87.72036743,52.61048508,129.3211823,328.6433411,326.7978516,132.0550232,49.49200058,69.02214813,483.5473938,73.59602356,52.39506149,212.0260773,147.5500031,11.77999973,155.9198303,142.827774,64.27043915,90.56326294,134.012146,93.23397827,402,149.7109375,48.95959091,1797.859985,225.6894073,40.27355194,177.1567078,68.19257355,13.60579014,195.3068695,153.2584534,72.05116272,56.68211365,73.28381348,242.4728394,54.50006485,105.3113861,65.7131958,96.63462067,69.51499939,231.1569824,36.42228317,207.973114,67.60195923,66.04925537,51.59422684,2662.939941
2/14/18,40.10148621,87.67982483,1451.050049,1072.699951,179.5200043,118.5353317,96.12141418,120.365509,74.5383606,105.7757492,219.1734467,169.9915466,239.4873505,172.7039642,43.94151688,101.7240143,30.10737228,40.26269913,109.0199966,37.15624237,197.1300049,31.7657299,266,30.67165947,50.65582275,66.00139618,55.68867874,100.3663864,206.743515,42.42666626,96.88227844,38.69271469,47.20724106,182.0552063,94.7178421,60.49040222,100.9634933,58.61999893,149.5360107,65.54374695,152.5534363,35.11059189,76.97952271,219.7242889,60.0737648,95.09364319,96.52313995,135.2553558,165.9412537,125.5055771,72.57431793,147.0699921,358.9400024,92.04711914,87.28622437,52.9128952,128.5337372,330.2618408,330.931427,135.5677185,51.03080368,70.42681122,500.8663025,74.14021301,53.79527283,212.6125641,147.7400055,12.19999981,160.3618469,146.6217957,63.97709656,92.16267395,136.1855621,93.06918335,409.8900146,151.3382416,50.15605927,1818.410034,227.2072601,40.42410278,181.1391602,69.54942322,13.81910419,195.4167938,155.13974,73.2513504,56.10751343,74.2181015,249.1625214,54.11812973,106.1495895,65.07756805,95.72605896,69.19999695,231.6379089,37.06734467,212.3662415,66.19871521,65.40697479,53.12586594,2698.629883
