Date,BTC,BCN,XRP,SYS,LTC,BTS,MAID,XVG,MONA,XLM,XMR,DGB,DOGE,DASH,NXS,XEM,ETH,SC,REP,CCI30,BITX,BITW20,BITW70,BITW100,VTI,VNQ,VEA,BND,DBC,GLD
1/26/17,917.5859985,5.60E-05,0.00669,0.00877,3.834320068,0.003832,0.123673998,2.70E-05,0.026172999,0.002197,11.98089981,0.000248,0.000208,15.04230022,0.102169998,0.005204,10.58909988,0.000356,4.141890049,325.465,915.25,994.16,1089.94,921.53,109.917305,70.59062958,33.95797348,72.17066193,15.42921829,113.2600021
1/27/17,919.75,5.60E-05,0.006415,0.009166,3.855880022,0.003868,0.122538999,1.90E-05,0.026110999,0.002196,12.09659958,0.000267,0.000204,15.3423996,0.105899997,0.004994,10.53730011,0.000376,4.323860168,325.478,929.87,1009.17,1146.92,937.7,109.7408371,69.90298462,33.87777328,72.25113678,15.3029089,113.4899979
1/28/17,921.5900269,6.10E-05,0.006342,0.010458,3.852950096,0.003818,0.124779999,1.90E-05,0.025951,0.002192,12.84759998,0.000275,0.000209,15.26840019,0.109061003,0.004815,10.56499958,0.000386,4.258009911,328.114,930.12,1016.61,1243.09,938.55,108.9978638,69.42757416,33.63718033,72.23323059,15.21546364,113.9700012
1/29/17,919.4959717,5.80E-05,0.006402,0.009787,3.852099895,0.004159,0.134233996,1.90E-05,0.025555,0.002225,12.65559959,0.000275,0.000204,15.50580025,0.109774001,0.005164,10.48400021,0.000369,4.34428978,330.966,933.08,1039.24,1312.32,942.09,108.9978638,69.42757416,33.63718033,72.23323059,15.21546364,113.9700012
1/30/17,920.382019,5.80E-05,0.006381,0.009635,4.021249771,0.004134,0.137312993,2.70E-05,0.025999,0.002458,12.70730019,0.000275,0.000208,15.96080017,0.110633999,0.005252,10.57120037,0.000369,4.218589783,332.977,931.49,1077.87,1354.36,941.11,108.9978638,69.42757416,33.63718033,72.23323059,15.21546364,113.9700012
1/31/17,970.4030151,5.70E-05,0.006314,0.009887,4.078639984,0.004059,0.145988002,2.90E-05,0.026667001,0.002371,12.98509979,0.000271,0.000206,16.06690025,0.114696003,0.005237,10.72749996,0.000378,4.293089867,340.556,934.35,1079.4,1385.7,943.66,109.0907135,69.92845917,33.75302887,72.38529205,15.3029089,115.5500031
2/1/17,989.0230103,5.60E-05,0.00654,0.010079,4.075329781,0.004062,0.137294993,2.00E-05,0.025474999,0.002357,13.26780033,0.000276,0.000209,16.03300095,0.119396999,0.005487,10.73209953,0.000386,4.214680195,343.414,979.14,1074.96,1410.2,988.57,109.0814362,69.08798218,33.86885834,72.25803375,15.46808338,115.1999969
2/2/17,1011.799988,5.10E-05,0.006469,0.010207,4.085269928,0.004093,0.145952001,3.00E-05,0.025846001,0.00242,13.13609982,0.000283,0.000211,16.30940056,0.120724,0.006294,10.82139969,0.000386,4.105130196,348.492,996.52,1087.87,1405.52,1005.98,109.1557312,69.91148376,33.92232513,72.30286407,15.46808338,115.8399963
2/3/17,1029.910034,5.40E-05,0.006474,0.010533,4.082560062,0.00393,0.154659003,3.10E-05,0.025152,0.002399,12.86380005,0.000278,0.000213,17.52039909,0.121634997,0.006938,11.11450005,0.000389,4.097159863,353.874,1015.44,1088.69,1481.28,1025.78,109.9823303,70.29350281,34.06489563,72.32074738,15.45836735,116.1299973
2/4/17,1042.900024,5.70E-05,0.006492,0.012233,4.058000088,0.004067,0.153777003,2.10E-05,0.025684999,0.002391,12.61330032,0.000271,0.000211,17.62170029,0.113669001,0.007173,11.43350029,0.000395,4.224060059,357.535,1034.66,1108.24,1522.68,1045.92,109.7222748,70.17465973,33.81539154,72.54483032,15.36120701,117.6999969
2/5/17,1027.339966,5.70E-05,0.006442,0.014944,4.042920113,0.003978,0.150224,2.10E-05,0.025409,0.002344,12.80239964,0.000286,0.000211,17.05890083,0.106629997,0.006389,11.35299969,0.000401,4.152450085,353.166,1046.83,1127.52,1567.86,1058.39,109.7222748,70.17465973,33.81539154,72.54483032,15.36120701,117.6999969
2/6/17,1038.150024,5.70E-05,0.00645,0.011698,4.044010162,0.003955,0.151856005,2.10E-05,0.026511,0.002369,12.8842001,0.00029,0.000214,17.12199974,0.104335003,0.006039,11.38939953,0.000423,4.236949921,357.486,1032.17,1116.32,1558.67,1043.84,109.7222748,70.17465973,33.81539154,72.54483032,15.36120701,117.6999969
2/7/17,1061.349976,5.30E-05,0.006407,0.011829,4.040369987,0.004092,0.158254996,2.20E-05,0.025935,0.002319,12.64990044,0.000287,0.000208,17.13540077,0.112148002,0.006917,11.5152998,0.000405,4.306749821,362.08,1043.14,1146.17,1507.25,1055.41,109.7129669,69.92845917,33.7886734,72.66132355,15.29319286,117.4599991
2/8/17,1063.069946,5.30E-05,0.006438,0.012162,4.023169994,0.004037,0.162529007,2.10E-05,0.028246,0.002235,12.80340004,0.000285,0.000211,17.34569931,0.103738002,0.006661,11.43120003,0.000397,4.577620029,361.515,1062.1,1145.43,1494.08,1075.34,109.8337173,70.48027039,33.84213257,72.85849762,15.35149002,118.1900024
2/9/17,994.3829956,5.00E-05,0.006374,0.011314,3.798589945,0.003781,0.152790993,2.00E-05,0.030170999,0.002155,12.12310028,0.000268,0.000204,16.58480072,0.103372999,0.006323,11.03219986,0.000385,4.327250004,340.492,1063.23,1123.4,1508.51,1076.86,110.5581589,70.65006256,33.96687698,72.66132355,15.42921829,117.2900009
2/10/17,988.6740112,5.00E-05,0.006289,0.011128,3.777209997,0.003935,0.159982994,2.90E-05,0.029519999,0.002141,11.97980022,0.000267,0.000208,16.67289925,0.100086004,0.006338,11.27890015,0.000366,4.199140072,338.759,996.78,1061.88,1419.62,1009.78,111.022522,71.15093231,34.0916214,72.64337921,15.59439278,117.5999985
2/11/17,1004.450012,5.50E-05,0.006333,0.011196,3.793100119,0.004047,0.166701004,2.20E-05,0.029454,0.002111,12.24450016,0.000279,0.00021,17.14690018,0.104402997,0.006992,11.3494997,0.000381,4.311729908,344.61,991.45,1047.93,1412.56,1004.55,111.5797653,71.17642975,34.21636581,72.56271362,15.41950226,116.8000031
2/12/17,999.1810303,5.20E-05,0.006269,0.011718,3.764369965,0.003966,0.181171998,2.00E-05,0.028942,0.00209,12.33100033,0.00027,0.000208,16.90629959,0.091315001,0.0069,11.39920044,0.000371,4.472159863,342.637,1005.16,1069.33,1431.04,1019.02,111.5797653,71.17642975,34.21636581,72.56271362,15.41950226,116.8000031
2/13/17,990.6420288,4.50E-05,0.006251,0.011768,3.717890024,0.003865,0.187593997,2.00E-05,0.027914001,0.002067,12.19729996,0.000266,0.000208,16.87590027,0.089069001,0.006635,11.26949978,0.000349,4.314290047,336.572,1000.47,1059.9,1415.61,1014.9,111.5797653,71.17642975,34.21636581,72.56271362,15.41950226,116.8000031
2/14/17,1004.549988,4.70E-05,0.006278,0.011327,3.770800114,0.003999,0.204526007,2.20E-05,0.027268,0.00209,12.99330044,0.000261,0.000209,18.1508007,0.096998997,0.00673,13.02519989,0.00036,4.75883007,348.94,992.7,1039.7,1391.85,1007.05,111.9884186,70.80287933,34.19855499,72.4103775,15.43893528,116.9300003
2/15/17,1007.47998,5.10E-05,0.006147,0.010909,3.809279919,0.00404,0.193193004,2.10E-05,0.027276,0.002224,13.61680031,0.000252,0.000209,19.63120079,0.098669998,0.007093,12.91969967,0.000363,4.851679802,352.68,1016.78,1054.82,1381.63,1031.19,112.6014099,70.56517029,34.32330322,72.29389954,15.45836735,117.4499969
