Date,BTC,BCN,XRP,SYS,LTC,BTS,MAID,XVG,MONA,XLM,XMR,DGB,DOGE,DASH,NXS,XEM,ETH,SC,REP,CCI30,BITX,BITW20,BITW70,BITW100,US Stocks,US Real Estate,World Stocks,Bonds,Broad Commodities,Gold
2020-09-15,10974.9052734375,0.00014899999951012433,0.24784700572490692,0.06197100132703781,47.933433532714844,0.027340000495314598,0.09445600211620331,0.004474999848753214,1.321692943572998,0.08019900321960449,86.60586547851562,0.02610900066792965,0.0028260000981390476,73.35334014892578,0.20875099301338196,0.11127399653196335,365.8122863769531,0.0033629999961704016,15.780340194702148,4502.6,11512.66,9275.6,8480.79,11350.08,171.3383026123047,81.25273132324219,41.62863540649414,87.4537124633789,12.979999542236328,183.4499969482422
2020-09-16,10948.990234375,0.00014600000577047467,0.25219398736953735,0.057934001088142395,48.87706756591797,0.02732500061392784,0.09470999985933304,0.004497999791055918,1.2855709791183472,0.080424003303051,92.42691802978516,0.024445999413728714,0.002814000006765127,73.42491912841797,0.20843100547790527,0.10525000095367432,389.01922607421875,0.003192000091075897,15.394522666931152,4517.95,11656.46,9040.59,8269.19,11457.21,170.77291870117188,81.68242645263672,41.62863540649414,87.43394470214844,13.220000267028809,183.97000122070312
2020-09-17,10944.5859375,0.0001340000017080456,0.2507070004940033,0.05609999969601631,48.46281433105469,0.029222000390291214,0.09489099681377411,0.004443999845534563,1.3051170110702515,0.07846099883317947,92.29927825927734,0.023405000567436218,0.0028039999306201935,72.25758361816406,0.21830600500106812,0.1096230000257492,384.3645324707031,0.003123000031337142,15.016400337219238,4601.88,11746.22,9246.52,8324.78,11554.44,169.36444091796875,80.09058380126953,41.68778991699219,87.43394470214844,13.369999885559082,182.9600067138672
2020-09-18,11094.3466796875,0.00012700000661425292,0.2517159879207611,0.056800998747348785,48.67683029174805,0.02690199948847294,0.09570600092411041,0.004513000138103962,1.3098119497299194,0.07897999882698059,95.73886108398438,0.026863999664783478,0.0027940000873059034,73.04095458984375,0.21309299767017365,0.11491300165653229,385.54437255859375,0.0030400000978261232,15.106882095336914,4574.77,11627.64,9232.92,8236.69,11443.09,167.71791076660156,78.28388214111328,41.39199447631836,87.33506774902344,13.430000305175781,183.1999969482422
2020-09-19,10938.271484375,0.00013499999477062374,0.24674299359321594,0.052779000252485275,47.100528717041016,0.02648100070655346,0.0923210009932518,0.004495000001043081,1.30063796043396,0.07740599662065506,93.36177062988281,0.029590999707579613,0.0027779999654740095,70.77013397216797,0.20515699684619904,0.11210300028324127,371.0528259277344,0.002983999904245138,14.83576774597168,4601.47,11805.32,9211.46,8262.59,11603.5,167.71791076660156,78.28388214111328,41.39199447631836,87.33506774902344,13.430000305175781,183.1999969482422
2020-09-20,10462.259765625,0.00013899999612476677,0.232137992978096,0.04954700171947479,43.390220642089844,0.02426300011575222,0.08694999665021896,0.004056000150740147,1.2383860349655151,0.07070299983024597,88.95246887207031,0.027552999556064606,0.002630000002682209,67.06053161621094,0.19367200136184692,0.10799700021743774,341.78607177734375,0.002621999941766262,13.7537841796875,4469.51,11568.58,8851.19,7944.04,11353.68,167.71791076660156,78.28388214111328,41.39199447631836,87.33506774902344,13.430000305175781,183.1999969482422
2020-09-21,10538.4599609375,0.00013800000306218863,0.23341700434684753,0.04934899881482124,44.545047760009766,0.025025000795722008,0.08938699960708618,0.004184000194072723,1.2769830226898193,0.07198700308799744,92.95467376708984,0.028193000704050064,0.002655999967828393,68.17486572265625,0.1910420060157776,0.10844700038433075,344.503173828125,0.0027089999057352543,13.661450386047363,4162.45,11066.2,8188.62,7404.97,10835.12,165.69447326660156,75.93028259277344,40.38195037841797,87.38451385498047,13.100000381469727,179.52000427246094
2020-09-22,10225.8642578125,0.0001289999927394092,0.22165699303150177,0.046720001846551895,43.042057037353516,0.02301499992609024,0.08697099983692169,0.003967999946326017,1.1794379949569702,0.06777799874544144,87.80696868896484,0.023950999602675438,0.002563999965786934,65.06328582763672,0.18020500242710114,0.10532499849796295,320.5855407714844,0.0025319999549537897,12.72264575958252,4231.6,11065.77,8268.36,7389.79,10839.64,167.3409881591797,76.83851623535156,40.372039794921875,87.41417694091797,13.039999961853027,178.64999389648438
2020-09-23,10745.548828125,0.00014899999951012433,0.23301799595355988,0.04884300008416176,44.96100616455078,0.024021999910473824,0.09212400019168854,0.004269000142812729,1.2057939767837524,0.0706309974193573,92.77206420898438,0.024988999590277672,0.002644000109285116,67.8101806640625,0.1961580067873001,0.1085290014743805,349.3566589355469,0.002638000063598156,14.219269752502441,4036.38,10782.78,8045.13,7028.42,10555.79,163.30401611328125,74.52398681640625,39.95573043823242,87.21644592285156,12.890000343322754,174.7899932861328
2020-09-24,10702.2900390625,0.0001250000059371814,0.24180500209331512,0.05078100040555,46.00873565673828,0.02421499975025654,0.08919399976730347,0.00430000014603138,1.2094130516052246,0.07466799765825272,90.7543716430664,0.02505899965763092,0.002706000115722418,68.5501708984375,0.19631899893283844,0.1155330017209053,352.161865234375,0.0027650000993162394,14.043522834777832,4300.34,11213.42,8399.6,7410.83,10983.07,163.65118408203125,74.92439270019531,39.89625549316406,87.2263412475586,12.949999809265137,175.44000244140625
2020-09-25,10754.4375,0.00015700000221841037,0.24236899614334106,0.05346599966287613,46.1312255859375,0.024775000289082527,0.09191399812698364,0.004236999899148941,1.2558749914169312,0.07422199845314026,93.27680969238281,0.024443000555038452,0.002707999898120761,69.184326171875,0.19975000619888306,0.12190599739551544,354.96527099609375,0.0027620000764727592,14.611398696899414,4367.6,11370.42,8721.9,7765.42,11159.27,166.2845001220703,76.46952819824219,40.04494094848633,87.21644592285156,12.949999809265137,174.94000244140625
2020-09-26,10774.4267578125,0.00013099999341648072,0.2432519942522049,0.05234299972653389,46.010440826416016,0.02454400062561035,0.09439300000667572,0.004195000045001507,1.2629259824752808,0.0736289992928505,96.9344711303711,0.023976000025868416,0.002701000077649951,68.74909973144531,0.19467300176620483,0.1218390017747879,357.3216857910156,0.0027209999971091747,14.225249290466309,4414.92,11347.28,8824.03,7855.18,11148.3,166.2845001220703,76.46952819824219,40.04494094848633,87.21644592285156,12.949999809265137,174.94000244140625
2020-09-27,10721.3271484375,0.00013899999612476677,0.24205100536346436,0.05508799850940704,45.27067184448242,0.024358000606298447,0.09589699655771255,0.004215000197291374,1.2751729488372803,0.0737060010433197,92.66083526611328,0.024755999445915222,0.0026579999830573797,67.52095031738281,0.1900320053100586,0.11902700364589691,354.95050048828125,0.002833999926224351,14.412128448486328,4443.38,11386.94,8883.23,7793.95,11186.19,166.2845001220703,76.46952819824219,40.04494094848633,87.21644592285156,12.949999809265137,174.94000244140625
2020-09-28,10848.830078125,0.00013600000238511711,0.24313899874687195,0.0532820001244545,45.69805908203125,0.024056000635027885,0.09606800228357315,0.004290999844670296,1.2473779916763306,0.07442499697208405,98.18734741210938,0.024486999958753586,0.0026809999253600836,68.65917205810547,0.19717900454998016,0.12060700356960297,359.9634094238281,0.003029000014066696,14.183649063110352,4412.88,11543.78,9082.89,7911.11,11345.86,169.30223083496094,78.03434753417969,40.69913864135742,87.29552459716797,13.0600004196167,176.6999969482422
2020-09-29,10787.6181640625,0.00013800000306218863,0.2423110008239746,0.052111998200416565,46.28403854370117,0.022995999082922935,0.09749600291252136,0.0042130001820623875,1.2446130514144897,0.07496999949216843,106.42013549804688,0.026475999504327774,0.0026420000940561295,69.10884094238281,0.19891400635242462,0.11427699774503708,360.0223693847656,0.0030759999062865973,14.231213569641113,4478.04,11380.96,8919.17,7620.02,11177.32,168.35606384277344,77.47337341308594,40.63966369628906,87.35486602783203,12.90999984741211,178.19000244140625
2020-09-30,10623.330078125,0.00014400000509340316,0.23836100101470947,0.0498340018093586,46.283145904541016,0.02181999944150448,0.09759800136089325,0.004095000214874744,1.225417971611023,0.07340399920940399,102.30846405029297,0.02656400017440319,0.0026149998884648085,68.12047576904297,0.19307400286197662,0.11813600361347198,353.2312927246094,0.002902999985963106,14.019401550292969,4482.03,11352.72,9120.07,7683.9,11167.57,169.6209259033203,77.7095718383789,40.54054641723633,87.21644592285156,13.0600004196167,177.1199951171875
