,ticker,name,slug,marketcap,sector,category,symbol,size
84,OMG,OMG Network,omg-network,1546416767,Scaling,Infrastructure,OMG-USD,124.3550066
85,ZRX,0x,0x,1415742155,Decentralized Exchanges,Financial,ZRX-USD,118.9849636
86,ICX,ICON,icon,1377552218,Enterprise and BaaS,Infrastructure,ICX-USD,117.3691705
87,BNT,Bancor,bancor,1355930271,Decentralized Exchanges,Financial,BNT-USD,116.444419
88,HNT,Helium,helium,1271798858,IoT,Infrastructure,HNT1-USD,112.7740599
89,RVN,Ravencoin,ravencoin,1268338375,Currencies,Payments,RVN-USD,112.6205299
90,CHSB,Swissborg,swissborg,1179258893,Asset Management,Financial,CHSB-USD,108.5936874
91,XVS,VENUS,venus,1176348784,Lending,Financial,XVS-USD,108.4596139
92,NANO,Nano,nano,1124463931,Currencies,Payments,NANO-USD,106.0407437
93,ONE,Harmony,harmony,1104823845,Smart Contract Platforms,Infrastructure,ONE2-USD,105.1106011
94,XWC,WhiteCoin,whitecoin,1096679755,Currencies,Payments,XWC-USD,104.7224787
95,LSK,Lisk,lisk,1045560723,Application Development,Infrastructure,LSK-USD,102.2526637
96,ANKR,Ankr Network,ankr-network,1042279147,Shared Compute,Services,ANKR-USD,102.0920735
97,CELO,Celo,celo,1024215671,Smart Contract Platforms,Infrastructure,CELO-USD,101.203541
98,KCS,KuCoin,kucoin,1021812079,Centralized Exchanges,Financial,KCS-USD,101.0847208
99,BCD,Bitcoin Diamond,bitcoin-diamond,1017708022,Currencies,Payments,BCD-USD,100.8815158
100,RSR,Reserve Rights,reserve-rights,1011761622,Asset Management,Financial,RSR-USD,100.586362
101,1INCH,1inch,1inch,1011374069,Decentralized Exchanges,Financial,1INCH-USD,100.5670955
102,XDCE,XinFin Network,xinfin-network,982714074.6,,,XDCE-USD,99.13193606
103,AR,Arweave,arweave,981268117.2,File Storage,Services,AR-USD,99.05897825
104,PAX,Paxos Standard Token,paxos-standard-token,978878886.7,Stablecoins,Payments,PAX-USD,98.93830839
105,CRV,Curve,curve,959852705.4,Decentralized Exchanges,Financial,CRV-USD,97.97207283
106,CVNT,Content Value Network,content-value-network,951741765.2,Content Creation and Distribution,Media and Entertainment,CVNT-USD,97.5572532
107,XVG,Verge,verge,935264645.1,Currencies,Payments,XVG-USD,96.70908154
108,IOST,IOST,iost,919547750.8,Smart Contract Platforms,Infrastructure,IOST-USD,95.89305245
109,REN,Ren,ren,902268758.5,Interoperability,Financial,REN-USD,94.98782861
110,FLOW,Flow,flow,901068489.6,Smart Contract Platforms,Infrastructure,FLOW-USD,94.92462745
111,LRC,Loopring,loopring,879141238.5,Decentralized Exchanges,Financial,LRC-USD,93.76253188
112,ETHOS,Ethos,ethos,850881755,Wallet,Financial,ETHOS-USD,92.24325206
113,LPT,Livepeer,livepeer,815588875.5,Shared Compute,Infrastructure,LPT-USD,90.30995933
114,CKB,Nervos Network,nervos-network,741012898.5,Smart Contract Platforms,Infrastructure,CKB-USD,86.08210607
115,FXC,Flexacoin,flexacoin,737395373.5,Payment Platforms,Financial,FXC-USD,85.87172838
